============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  176  1 .5329361E+07   1922000E+01  .1550E+05  .2359E+06   .9995729 -.0291092  .0025674
T  177  1 .5222014E+07   1922000E+01 -.1969E+06 -.4251E+06   .9994485  .0253095 -.0214970
T  178  1 .5128028E+07   1922000E+01  .5385E+06 -.1494E+05   .9817973  .1792285  .0628589
T  179  1 .5143391E+07   1922000E+01  .2160E+06 -.2866E+06   .9989434  .0435507 -.0146804
T  180  1 .5312517E+07   1922000E+01 -.5940E+05 -.1729E+06   .9999474 -.0064460 -.0079787
T  181  1 .4973677E+07   1922000E+01  .1922E+05  .1066E+06   .9996444  .0252378  .0086108
T  182  1 .4410638E+07   1922000E+01 -.1726E+06  .4623E+06   .9993459  .0076320  .0353483
T  183  1 .4517086E+07   1922000E+01  .8983E+05  .7482E+06   .9996390  .0268688  .0001283
T  184  1 .5020591E+07   1922000E+01  .2707E+06 -.1199E+06   .9999792 -.0017304 -.0062096
T  185  1 .5115343E+07   1922000E+01  .1395E+06 -.3925E+06   .9994357  .0219352 -.0254406
T  186  1 .5164135E+07   1922000E+01  .4487E+06 -.1562E+06   .9992816  .0357035 -.0127087
T  187  1 .4634966E+07   1922000E+01 -.2276E+06  .1611E+06   .9981998 -.0572826  .0177740
T  188  1 .5452556E+07   1922000E+01  .2418E+06 -.7700E+05   .9995127  .0275313 -.0147076
T  189  1 .5321614E+07   1922000E+01  .3316E+06  .4925E+06   .9990012  .0340116  .0289798
T  190  1 .5450742E+07   1922000E+01  .2357E+06 -.1591E+06   .9990986 -.0411713 -.0103370
T  191  1 .5130522E+07   1922000E+01 -.1605E+06  .8904E+05   .9999797 -.0019734  .0060517
T  192  1 .5152101E+07   1922000E+01  .6472E+06  .6094E+06   .9931378  .0535135  .1039887
T  193  1 .5273645E+07   1922000E+01  .4274E+06 -.3879E+06   .9990576 -.0120353 -.0417030
T  194  1 .5489548E+07   1922000E+01  .3329E+06  .2302E+06   .9994503 -.0086407 -.0320062
T  195  1 .5202746E+07   1922000E+01 -.2821E+06  .2587E+06   .9969119 -.0461574  .0635302
T  196  1 .5253796E+07   1922000E+01  .2999E+06  .2023E+06   .9999528 -.0086211 -.0044749
T  197  1 .5545839E+07   1922000E+01 -.2462E+06  .6877E+04   .9999025  .0132700 -.0043550
T  198  1 .5903834E+07   1922000E+01 -.1553E+06 -.2274E+05   .9974109 -.0679456 -.0235543
T  199  1 .4439531E+07   1922000E+01 -.1725E+06  .3054E+06   .9988406 -.0420272  .0234756
T  200  1 .5011249E+07   1922000E+01 -.2753E+06 -.9943E+05   .9967015 -.0790350 -.0184267
T  201  1 .5236535E+07   1922000E+01 -.1129E+06  .2618E+05   .9996244 -.0269505  .0049829
T  202  1 .5370526E+07   1922000E+01 -.3891E+06  .1867E+06   .9988716  .0298474  .0369410
T  203  1 .5424896E+07   1922000E+01 -.1967E+06 -.3932E+06   .9995102  .0287621 -.0123358
